Temp,h,Cv,deltaCv,M,deltaM,Chi,deltaChi
2.22,0,0.766674,0.00755638,0.706768,0.000388321,0.13238,0.088393
2.22,0.05,0.756439,0.00410798,0.701437,0.000201894,0.132932,0.0405401
2.22,0.1,0.77588,0.00494081,0.701678,0.000255676,0.135647,0.0529398
2.22,0.15,0.782456,0.00132348,0.706711,0.000200158,0.133547,0.0483028
2.22,0.2,0.771795,0.00422542,0.716482,0.000108988,0.119395,0.0139511
2.22,0.25,0.804176,0.0053362,0.71516,0.000292831,0.124514,0.0569382
2.22,0.3,0.825253,0.00542175,0.719314,0.000292625,0.121016,0.066224
2.22,0.35,0.871245,0.00268994,0.71884,0.000242099,0.123011,0.0528042
2.22,0.4,0.841604,0.00461382,0.734267,7.13855e-05,0.109991,0.0172185
2.22,0.45,0.908656,0.00383173,0.730975,0.000171064,0.11487,0.0440039
2.22,0.5,0.917648,0.00222772,0.725744,0.000122363,0.118963,0.028308
2.22,0.55,0.931161,0.00465887,0.737511,0.000210345,0.110588,0.0514801
2.22,0.6,0.910384,0.00705722,0.747938,0.000154499,0.101371,0.0426222
2.22,0.65,1.0018,0.0118072,0.742929,0.000364705,0.108881,0.0844793
2.22,0.7,0.943989,0.00587664,0.752674,0.000100498,0.0964273,0.0177787
2.22,0.75,1.01599,0.00599897,0.751917,5.49574e-05,0.101999,0.0426847
2.22,0.8,0.975661,0.00910215,0.757265,0.00035359,0.0930524,0.0784605
2.22,0.85,0.974944,0.00223515,0.768748,4.08994e-05,0.0864071,0.0195884
2.22,0.9,0.968327,0.00587863,0.769063,0.00014533,0.0854891,0.0130767
2.22,0.95,0.937763,0.0109051,0.779834,0.000234352,0.077459,0.0610842
2.22,1,0.97336,0.0064879,0.77965,0.00026753,0.0791487,0.0582234
2.22,1.05,0.891924,0.00186622,0.791102,0.000178884,0.0676811,0.0414259
2.22,1.1,0.927597,0.0123824,0.788964,0.000236489,0.0708241,0.0629941
2.22,1.15,0.916649,0.00857961,0.791414,0.000201459,0.0690575,0.0534791
2.22,1.2,1.0112,0.00414941,0.790242,0.000181724,0.0728207,0.0418494
2.22,1.25,0.983584,0.0193542,0.791286,0.000381389,0.0684536,0.0943695
2.22,1.3,0.917883,0.00977264,0.801459,0.000253945,0.0634546,0.0651112
2.22,1.35,0.825589,0.0119389,0.809754,0.000255828,0.0541249,0.0683844
2.22,1.4,0.898158,0.0121054,0.808375,0.000148338,0.058234,0.0396774
2.22,1.45,0.933283,0.00666954,0.808967,6.03766e-05,0.0597268,0.025628
2.22,1.5,0.910152,0.0145695,0.814422,0.000218068,0.0537167,0.0531612
2.22,1.55,0.871556,0.00649741,0.815055,0.000174195,0.0505479,0.059171
2.22,1.6,0.872879,0.00599841,0.818872,0.000195439,0.0491922,0.0472462
2.22,1.65,0.913658,0.02231,0.818706,0.00031744,0.0508555,0.0832746
2.22,1.7,0.89456,0.0117686,0.822349,7.98197e-05,0.0496247,0.0420212
2.22,1.75,0.858991,0.0167753,0.82661,0.000228632,0.0452615,0.060362
2.22,1.8,0.863384,0.0143798,0.827921,0.000242552,0.0445362,0.0617946
2.22,1.85,0.833116,0.0190596,0.832019,0.000254443,0.0421125,0.0585965
2.22,1.9,0.90432,0.0151685,0.829034,0.000266774,0.0464245,0.0663511
2.22,1.95,0.744012,0.0128753,0.838441,0.000103827,0.0362555,0.0281185
2.22,2,0.866048,0.00821594,0.835861,0.000227702,0.040768,0.0543473
1.5,0,0.761307,0.0261753,0.844198,0.000399973,0.0647519,0.159479
1.55,0,0.83162,0.0136744,0.830937,0.0003131,0.0789662,0.111349
1.6,0,0.780808,0.0142677,0.828375,0.000294215,0.0747563,0.105261
1.65,0,0.846266,0.00254369,0.813206,0.000183496,0.0869313,0.0515902
1.7,0,0.811464,0.0119184,0.809294,0.000279836,0.0868158,0.0916417
1.75,0,0.799204,0.0108761,0.801445,0.000285111,0.0878637,0.0801936
1.8,0,0.846337,0.0143865,0.784343,0.000346313,0.104933,0.111137
1.85,0,0.818982,0.00814161,0.776693,0.000196799,0.103519,0.0628689
1.9,0,0.861715,0.00450498,0.765127,0.000205101,0.115851,0.0430808
1.95,0,0.811913,0.00168198,0.760925,0.000167865,0.111772,0.0368722
2,0,0.828404,0.00525957,0.748272,0.000187428,0.124862,0.0461984
2.05,0,0.790949,0.00275044,0.740954,0.000145893,0.120442,0.0447097
2.1,0,0.795948,0.0036912,0.730242,0.000236331,0.125435,0.0602453
2.15,0,0.771479,0.00147546,0.718728,9.49894e-05,0.127419,0.013753
2.2,0,0.750707,0.00524265,0.711529,0.000226502,0.126928,0.0510512
2.25,0,0.719384,0.00383726,0.702652,0.000272573,0.127973,0.0543426
2.3,0,0.706795,0.00229286,0.696048,5.44676e-05,0.128933,0.0083321
2.35,0,0.707671,0.00286948,0.676772,0.000225134,0.136418,0.0427134
2.4,0,0.677315,0.00322766,0.673128,0.00020627,0.132858,0.0486472
2.45,0,0.655686,0.0046881,0.665161,0.00035474,0.132872,0.0728838
2.5,0,0.63258,0.00340035,0.663199,0.000143985,0.131289,0.0363935
2.55,0,0.627956,0.00142084,0.648305,0.000226501,0.13764,0.0329731
2.6,0,0.602475,0.00108222,0.637149,5.14187e-05,0.131863,0.0134719
2.65,0,0.575837,0.00199344,0.630262,0.000225534,0.132556,0.0386863
2.7,0,0.576674,0.00247384,0.620287,0.000268218,0.134525,0.046038
2.75,0,0.564034,0.00191341,0.615263,0.000270217,0.133018,0.0421876
2.8,0,0.539481,0.0021343,0.607773,0.000359714,0.13312,0.0546546
2.85,0,0.504325,0.00270528,0.600887,0.000275694,0.127219,0.045997
2.9,0,0.486948,0.00127607,0.591235,0.000265592,0.128562,0.0342417
2.95,0,0.48199,0.000453401,0.589014,0.000184299,0.126613,0.0192795
3,0,0.455742,0.00116413,0.578215,0.000287186,0.123757,0.0332162
3.05,0,0.446371,0.00168519,0.574887,0.000130791,0.121878,0.0249296
3.1,0,0.428293,0.000372936,0.573515,9.88673e-05,0.119481,0.011924
3.15,0,0.416416,0.00201263,0.561313,0.000379581,0.118852,0.0528301
3.2,0,0.391812,0.0010213,0.555802,0.000220969,0.115607,0.0340188
3.25,0,0.386623,0.0016461,0.554466,0.00027699,0.115299,0.0385205
3.3,0,0.371766,0.000657038,0.549987,0.000168116,0.113873,0.0211638
3.35,0,0.367457,0.000762221,0.546818,0.000201999,0.111213,0.0205816
3.4,0,0.347418,0.000567829,0.535043,0.000202443,0.109752,0.0226395
3.45,0,0.341932,0.000955621,0.538736,3.51376e-05,0.107513,0.0062573
3.5,0,0.321844,0.000490861,0.529175,0.000137095,0.104813,0.0155964
1.5,1,0.72587,0.0191733,0.882748,8.48537e-05,0.0284536,0.0262626
1.8,1,0.824411,0.0163976,0.847147,0.000176656,0.0472273,0.060945
2.1,1,0.935148,0.0156075,0.801929,0.000331692,0.0679901,0.080072
2.4,1,0.982449,0.0100162,0.747494,0.000272395,0.0941063,0.0645326
2.7,1,0.913212,0.00509511,0.696156,0.000301362,0.107701,0.0496551
3,1,0.766182,0.00425167,0.648644,0.000326215,0.106639,0.0522083
3.3,1,0.661118,0.0013504,0.603666,0.000299064,0.107268,0.035143
3.6,1,0.548338,0.00253054,0.567208,0.00037536,0.101336,0.0451234
3.9,1,0.459248,0.0011209,0.540329,0.00030048,0.0941758,0.0293261
4.2,1,0.369349,0.00110325,0.513119,0.000162411,0.0844673,0.0105151
4.5,1,0.311425,0.000501427,0.494942,0.000220932,0.0796655,0.0139888
1.5,2,0.646566,0.0448536,0.903425,0.000217593,0.0173924,0.0933454
1.8,2,0.698807,0.0130099,0.879445,8.55295e-05,0.0237821,0.0259877
2.1,2,0.747173,0.0147287,0.853468,0.000182896,0.0320794,0.0508277
2.4,2,0.842086,0.0123298,0.817076,0.000236534,0.0455401,0.0531092
2.7,2,0.924035,0.0108276,0.775838,0.000227224,0.0602045,0.043889
3,2,0.897327,0.00857928,0.73601,0.000217845,0.0703676,0.0370706
3.3,2,0.851411,0.00241171,0.698694,0.000104079,0.076795,0.012885
3.6,2,0.785682,0.00263533,0.659878,0.000227469,0.0808651,0.0271447
3.9,2,0.725315,0.00403489,0.621528,0.000278749,0.0823711,0.0341668
4.2,2,0.64394,0.00183625,0.590581,0.000265457,0.0802403,0.0263262
4.5,2,0.554062,0.00192799,0.562514,0.000227773,0.0781487,0.0211325
